airport_name,city,state_region,recovery_level
Newark Liberty International ,Newark,New Jersey,99.70609318996416
Charlotte Douglas International,Charlotte,North Carolina,98.61254480286738
Dallas/Fort Worth International ,Grapevine,Texas,97.21469534050179
Seattle-Tacoma International ,SeaTac,Washington,95.64265232974911
Chicago OHare International,Chicago,Illinois,89.47383512544803
Los Angeles International,Los Angeles,California,86.96774193548386
John F. Kennedy International,New York,New York,81.24767025089606
Denver International,Denver,Colorado,74.06344086021505
Miami International ,Miami Springs,Florida,72.9978494623656
Hartsfield-Jackson Atlanta International ,College Park,Georgia,65.0695340501792
