pattern_type,time_dimension,time_label,total_edits,unique_contributors,minor_edits,avg_article_length
HOUR_OF_DAY,0,0,11217092,464211,3599151,18265.924313360367
HOUR_OF_DAY,1,1,10735512,449758,3409932,18008.32944055207
HOUR_OF_DAY,2,2,10190171,435250,3238647,17882.376670911624
HOUR_OF_DAY,3,3,9635553,414407,3060830,17971.647940393243
HOUR_OF_DAY,4,4,8879489,386185,2801568,17978.28384493748
HOUR_OF_DAY,5,5,8098667,352035,2539417,18050.824557300602
HOUR_OF_DAY,6,6,7402272,325388,2404754,18335.688353927042
HOUR_OF_DAY,7,7,6883114,305714,2284111,17831.37938061174
HOUR_OF_DAY,8,8,6676794,298268,2258426,17385.99664824164
HOUR_OF_DAY,9,9,6764957,302736,2311012,17122.409767423505
HOUR_OF_DAY,10,10,7050110,308855,2421153,16939.19736528934
HOUR_OF_DAY,11,11,7423110,321712,2546673,17248.726116007954
HOUR_OF_DAY,12,12,8079728,350319,2740506,17262.557336336096
HOUR_OF_DAY,13,13,9033261,399581,3023159,17679.550700350588
HOUR_OF_DAY,14,14,10087041,451455,3310973,17969.10857059073
HOUR_OF_DAY,15,15,10984777,490039,3573227,18176.721670726685
HOUR_OF_DAY,16,16,11560753,513968,3716353,18213.047386619193
HOUR_OF_DAY,17,17,11970914,524889,3846009,18211.439407717742
HOUR_OF_DAY,18,18,12250959,533695,3934904,18277.260455283555
HOUR_OF_DAY,19,19,12501580,542691,3981610,18085.103683534395
HOUR_OF_DAY,20,20,12812987,548090,4083735,18034.215576274313
HOUR_OF_DAY,21,21,12781646,539706,4084357,18153.311228538147
HOUR_OF_DAY,22,22,12347210,515123,3958132,18206.86790311333
HOUR_OF_DAY,23,23,11681569,485515,3767417,18455.051797493983
