pattern_type,time_dimension,time_label,total_edits,unique_contributors,minor_edits,avg_article_length,date
MONTHLY_TREND,200101,2001-01,46,5,8,2223.8695652173906,2001-01-01
MONTHLY_TREND,200102,2001-02,216,10,79,1215.6666666666667,2001-02-01
MONTHLY_TREND,200103,2001-03,481,25,181,1406.2370062370069,2001-03-01
MONTHLY_TREND,200104,2001-04,227,21,56,2061.1101321585907,2001-04-01
MONTHLY_TREND,200105,2001-05,657,24,139,782.5677321156768,2001-05-01
MONTHLY_TREND,200106,2001-06,365,26,123,1128.3561643835615,2001-06-01
MONTHLY_TREND,200107,2001-07,656,61,262,1532.596036585365,2001-07-01
MONTHLY_TREND,200108,2001-08,1332,70,551,1885.5360360360348,2001-08-01
MONTHLY_TREND,200109,2001-09,2525,111,1110,1986.530297029704,2001-09-01
MONTHLY_TREND,200110,2001-10,4530,140,2033,2236.3165562913896,2001-10-01
MONTHLY_TREND,200111,2001-11,7908,178,2934,3483.542488619121,2001-11-01
MONTHLY_TREND,200112,2001-12,12379,195,4160,4331.941271508197,2001-12-01
MONTHLY_TREND,200201,2002-01,9236,187,3387,4364.4653529666475,2002-01-01
MONTHLY_TREND,200202,2002-02,14731,292,6513,3629.7640350281717,2002-02-01
MONTHLY_TREND,200203,2002-03,17171,273,7711,3441.896860986546,2002-03-01
MONTHLY_TREND,200204,2002-04,15010,238,7906,4090.7025316455683,2002-04-01
MONTHLY_TREND,200205,2002-05,12500,228,6615,3229.2848000000013,2002-05-01
MONTHLY_TREND,200206,2002-06,20886,278,8542,4578.605860384942,2002-06-01
MONTHLY_TREND,200207,2002-07,24066,307,8556,3600.7064738635395,2002-07-01
MONTHLY_TREND,200208,2002-08,46087,415,15880,3878.711697441797,2002-08-01
MONTHLY_TREND,200209,2002-09,68183,528,25197,3403.3521112300728,2002-09-01
MONTHLY_TREND,200210,2002-10,92161,596,40121,3584.1379542322693,2002-10-01
MONTHLY_TREND,200211,2002-11,46872,587,18146,4700.690582863973,2002-11-01
MONTHLY_TREND,200212,2002-12,81884,659,37804,3831.763335938647,2002-12-01
MONTHLY_TREND,200301,2003-01,70854,986,33250,4931.871482202844,2003-01-01
MONTHLY_TREND,200302,2003-02,65503,983,30474,4988.563760438455,2003-02-01
MONTHLY_TREND,200303,2003-03,69368,925,31470,5078.803093645481,2003-03-01
MONTHLY_TREND,200304,2003-04,71723,906,32268,5312.597758041356,2003-04-01
MONTHLY_TREND,200305,2003-05,93399,1238,43863,5364.812032248738,2003-05-01
MONTHLY_TREND,200306,2003-06,98284,1420,44950,5341.162060966182,2003-06-01
MONTHLY_TREND,200307,2003-07,113069,1801,45674,5628.3752664302365,2003-07-01
MONTHLY_TREND,200308,2003-08,123927,2012,55670,7447.652763320336,2003-08-01
MONTHLY_TREND,200309,2003-09,110456,2001,49439,6805.876095458821,2003-09-01
MONTHLY_TREND,200310,2003-10,121040,2340,50726,8482.28582286848,2003-10-01
MONTHLY_TREND,200311,2003-11,167491,2486,73416,8426.509615442023,2003-11-01
MONTHLY_TREND,200312,2003-12,187231,2632,85026,8305.0403298599,2003-12-01
MONTHLY_TREND,200401,2004-01,183645,3132,76863,8887.3715864848,2004-01-01
MONTHLY_TREND,200402,2004-02,258531,4174,102752,9297.286975256358,2004-02-01
MONTHLY_TREND,200403,2004-03,368434,5489,145108,10711.095325078579,2004-03-01
MONTHLY_TREND,200404,2004-04,337257,5767,126974,8752.30644879127,2004-04-01
MONTHLY_TREND,200405,2004-05,347172,6286,126498,9248.13361676632,2004-05-01
MONTHLY_TREND,200406,2004-06,435419,7395,189485,9603.990880048872,2004-06-01
MONTHLY_TREND,200407,2004-07,507213,7805,207239,8865.000581609693,2004-07-01
MONTHLY_TREND,200408,2004-08,546807,8608,248831,9457.102595614164,2004-08-01
MONTHLY_TREND,200409,2004-09,551948,9943,235045,10370.741810822761,2004-09-01
MONTHLY_TREND,200410,2004-10,601233,11376,263846,9648.107402620955,2004-10-01
MONTHLY_TREND,200411,2004-11,763014,13320,276791,10053.37819751669,2004-11-01
MONTHLY_TREND,200412,2004-12,739862,14319,291712,10893.904721421031,2004-12-01
MONTHLY_TREND,200501,2005-01,611386,14780,233989,10089.204806783271,2005-01-01
MONTHLY_TREND,200502,2005-02,607297,15159,235439,9088.209406600063,2005-02-01
MONTHLY_TREND,200503,2005-03,797553,18349,312854,8868.43201016108,2005-03-01
MONTHLY_TREND,200504,2005-04,982390,21511,389204,8530.795216767268,2005-04-01
MONTHLY_TREND,200505,2005-05,1018972,23327,396073,10784.863489870184,2005-05-01
MONTHLY_TREND,200506,2005-06,1129032,25115,403392,12318.53546666525,2005-06-01
MONTHLY_TREND,200507,2005-07,1367424,31273,478602,13295.948528766505,2005-07-01
MONTHLY_TREND,200508,2005-08,1474140,35302,510449,13718.623683639278,2005-08-01
MONTHLY_TREND,200509,2005-09,1391057,34614,537609,13130.829867503631,2005-09-01
MONTHLY_TREND,200510,2005-10,1580377,40675,589233,13989.398005032981,2005-10-01
