metric_category,dimension_1,dimension_2,unique_contributors,total_edits,minor_edits,reverted_edits,avg_article_length,year_value,month_value,namespace_value,contributor_name,contributor_rank
NAMESPACE_DISTRIBUTION,Anonymous (IP),Main (Article),18388968,70586838,76276,0,16491.527617684198,,,0,,
NAMESPACE_DISTRIBUTION,Anonymous (IP),Talk,1260665,2979031,5194,0,26047.824658756464,,,1,,
NAMESPACE_DISTRIBUTION,Anonymous (IP),Wikipedia/Project,503594,1107884,832,0,45390.252886583825,,,4,,
NAMESPACE_DISTRIBUTION,Anonymous (IP),User Talk,302602,800927,175,0,17207.169456142703,,,3,,
NAMESPACE_DISTRIBUTION,Anonymous (IP),User,176107,448361,1122,0,11270.702938034321,,,2,,
NAMESPACE_DISTRIBUTION,Anonymous (IP),Template,151722,359482,0,0,3452.4765746268245,,,10,,
NAMESPACE_DISTRIBUTION,Anonymous (IP),Category,57779,172177,0,0,578.0379957834097,,,14,,
NAMESPACE_DISTRIBUTION,Anonymous (IP),File,52376,86772,0,0,586.9892361591299,,,6,,
NAMESPACE_DISTRIBUTION,Anonymous (IP),Wikipedia/Project,43236,83379,118,0,42774.3394859617,,,5,,
NAMESPACE_DISTRIBUTION,Anonymous (IP),Other,31818,61165,8,0,3636.2069811166502,,,100,,
NAMESPACE_DISTRIBUTION,Anonymous (IP),Template,8936,19144,0,0,38719.61209778525,,,11,,
NAMESPACE_DISTRIBUTION,Anonymous (IP),File,12744,16914,0,0,2646.7923022348327,,,7,,
NAMESPACE_DISTRIBUTION,Anonymous (IP),Category,6068,9515,0,0,2419.464739884395,,,15,,
NAMESPACE_DISTRIBUTION,Anonymous (IP),Other,3988,5337,8,0,9930.610830054335,,,12,,
NAMESPACE_DISTRIBUTION,Anonymous (IP),Other,2911,4063,2,0,17335.008122077284,,,101,,
NAMESPACE_DISTRIBUTION,Anonymous (IP),Other,857,1654,3,0,50515.94498186215,,,9,,
NAMESPACE_DISTRIBUTION,Anonymous (IP),Other,143,1293,0,0,725.826759474092,,,8,,
NAMESPACE_DISTRIBUTION,Anonymous (IP),Other,950,1248,3,0,18142.320512820505,,,13,,
NAMESPACE_DISTRIBUTION,Anonymous (IP),Other,15,23,0,0,1546.5652173913045,,,108,,
NAMESPACE_DISTRIBUTION,Anonymous (IP),Other,3,3,0,0,211.33333333333334,,,109,,
NAMESPACE_DISTRIBUTION,Registered User,Main (Article),2851321,152575389,58554989,0,13660.518145242944,,,0,,
NAMESPACE_DISTRIBUTION,Registered User,Talk,476296,22443400,5560010,0,26711.451806722685,,,1,,
NAMESPACE_DISTRIBUTION,Registered User,User Talk,458415,21518641,3535652,0,18541.11601090422,,,3,,
NAMESPACE_DISTRIBUTION,Registered User,Wikipedia/Project,382172,16428964,2686606,0,47659.38214010328,,,4,,
NAMESPACE_DISTRIBUTION,Registered User,User,568709,11189909,2570047,0,12388.75160530797,,,2,,
NAMESPACE_DISTRIBUTION,Registered User,Template,86928,3055522,842980,0,2920.6393869852664,,,10,,
NAMESPACE_DISTRIBUTION,Registered User,File,159463,2881239,912664,0,418.50984003756724,,,6,,
NAMESPACE_DISTRIBUTION,Registered User,Category,44971,2772271,1433236,0,424.8311478206858,,,14,,
NAMESPACE_DISTRIBUTION,Registered User,Wikipedia/Project,64077,2461820,383930,0,80965.65909570977,,,5,,
NAMESPACE_DISTRIBUTION,Registered User,Template,24634,595650,101309,0,61062.60138504156,,,11,,
NAMESPACE_DISTRIBUTION,Registered User,Other,21092,561108,173024,0,6748.75750657627,,,100,,
NAMESPACE_DISTRIBUTION,Registered User,Category,12688,315853,84347,0,1737.6372521394437,,,15,,
NAMESPACE_DISTRIBUTION,Registered User,File,14348,106177,19923,0,2203.062885559019,,,7,,
NAMESPACE_DISTRIBUTION,Registered User,Other,6361,50355,12880,0,14023.928884917092,,,101,,
NAMESPACE_DISTRIBUTION,Registered User,Other,3324,35240,5239,0,57865.401163450624,,,9,,
NAMESPACE_DISTRIBUTION,Registered User,Other,884,21546,4373,0,12500.97790773229,,,8,,
NAMESPACE_DISTRIBUTION,Registered User,Other,5835,20581,9114,0,11537.607161945498,,,12,,
NAMESPACE_DISTRIBUTION,Registered User,Other,3031,10406,2901,0,24049.914856813357,,,13,,
NAMESPACE_DISTRIBUTION,Registered User,Other,229,3539,1758,0,1550.084204577563,,,108,,
NAMESPACE_DISTRIBUTION,Registered User,Other,57,1656,1074,0,86.20833333333333,,,109,,
NAMESPACE_DISTRIBUTION,Unknown,Main (Article),0,1160,315,0,16394.4896551724,,,0,,
NAMESPACE_DISTRIBUTION,Unknown,User Talk,0,711,79,0,8671.127988748241,,,3,,
NAMESPACE_DISTRIBUTION,Unknown,Wikipedia/Project,0,203,71,0,32576.960591133004,,,4,,
NAMESPACE_DISTRIBUTION,Unknown,User,0,171,18,0,5107.567251461989,,,2,,
NAMESPACE_DISTRIBUTION,Unknown,Talk,0,159,63,0,28122.691823899368,,,1,,
NAMESPACE_DISTRIBUTION,Unknown,Wikipedia/Project,0,61,12,0,30206.09836065574,,,5,,
NAMESPACE_DISTRIBUTION,Unknown,Category,0,39,0,0,416.6410256410257,,,14,,
NAMESPACE_DISTRIBUTION,Unknown,Template,0,35,1,0,3393.2571428571428,,,10,,
NAMESPACE_DISTRIBUTION,Unknown,Template,0,8,1,0,218616.375,,,11,,
NAMESPACE_DISTRIBUTION,Unknown,File,0,6,1,0,90.66666666666667,,,6,,
NAMESPACE_DISTRIBUTION,Unknown,Other,0,3,0,0,662.3333333333334,,,100,,
NAMESPACE_DISTRIBUTION,Unknown,Other,0,1,0,0,5980.0,,,101,,
NAMESPACE_DISTRIBUTION,Unknown,Other,0,1,0,0,0.0,,,9,,
NAMESPACE_DISTRIBUTION,Unknown,Category,0,1,0,0,0.0,,,15,,
