metric_category,dimension_1,dimension_2,unique_contributors,total_edits,minor_edits,reverted_edits,avg_article_length,year_value,month_value,namespace_value,contributor_name,contributor_rank
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_1,,2865380,2630633,0,7384.981083137315,,,,,1
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_2,,2251184,294,0,61898.661089897534,,,,,2
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_3,,1598532,1581179,0,5251.596131325495,,,,,3
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_4,,1304052,527671,0,12554.92632349016,,,,,4
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_5,,843179,832328,0,31550.683950857423,,,,,5
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_6,,674063,180117,0,17305.219237667687,,,,,6
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_7,,670664,666120,0,5319.649471270264,,,,,7
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_8,,641477,0,0,5951.142782983645,,,,,8
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_9,,638593,523133,0,7561.309651061006,,,,,9
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_10,,569048,0,0,24845.73217549311,,,,,10
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_11,,537810,0,0,2621.4248526431306,,,,,11
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_12,,506364,495063,0,1640.0943214762494,,,,,12
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_13,,453570,0,0,73626.06221531407,,,,,13
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_14,,432125,1406,0,1679.258464564653,,,,,14
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_15,,428365,27553,0,576.7688279854801,,,,,15
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_16,,424243,532,0,13204.30469565792,,,,,16
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_17,,418835,418835,0,6372.873007270159,,,,,17
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_18,,394299,390520,0,13527.912150423912,,,,,18
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_19,,382710,367269,0,3513.5029238849256,,,,,19
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_20,,379696,379688,0,1857.8090129998734,,,,,20
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_21,,369947,369942,0,551.5009095897523,,,,,21
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_22,,353497,66026,0,7090.776614794469,,,,,22
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_23,,331345,98917,0,3330.6390740768684,,,,,23
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_24,,323683,323683,0,6381.312364257628,,,,,24
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_25,,306927,306925,0,9082.2146601635,,,,,25
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_26,,303939,303930,0,6763.497129358192,,,,,26
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_27,,298981,28,0,950.747502349647,,,,,27
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_28,,295221,295209,0,6786.902456126089,,,,,28
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_29,,292495,6,0,54442.367879792866,,,,,29
TOP_HUMAN_CONTRIBUTORS,Registered User,rank_30,,291931,40411,0,10702.864827647634,,,,,30
